Cycle Life,H1,H2,discharge voltage mean,discharge voltage std,discharge voltage kurtosis,discharge voltage skewness,discharge voltage cov,discharge_temperature mean,discharge_temperature std,discharge_temperature kurtosis,discharge_temperature skewness,discharge_temperature cov,discharge time,discharge Q,discharge voltage slope,discharge voltage entropy,capacity,discharge cycle life,adjusted_discharge_cycle_life
2.0,4.193619112296051,0.0,4.014033100816979,0.4008441781790745,15.752831432144935,-4.012211228026906,0.0998607057070581,7.793067309492064,0.9792747414997308,1.7914007145057165,1.5745805821581629,0.1256597309645921,1067.641,-309.3359947998519,-5.02521935738042e-05,4.553876891600542,0.0556974726122769,4.0,2.0
5.0,4.192843801522031,0.0,4.035518711643436,0.3627389156805399,18.830299297811447,-4.326408122342555,0.0898865651728863,7.842738041749757,1.775296363086665,-1.506997588145352,0.1050826621638345,0.2263618080364426,1039.984,-269.5770991941662,-4.60970066064476e-05,4.5217885770490405,0.056148059974053,8.0,6.0
7.0,4.192749525849548,0.0,3.980423400468267,0.440529543437112,11.094266935341375,-3.4097806562019706,0.1106740412050856,8.729861757639965,1.569888696085426,-0.9246030010217234,-0.517275019755651,0.1798297315202652,687.328,-269.60427383542327,-7.620990114799652e-05,4.110873864173311,0.0564705315991391,10.0,8.0
9.0,4.192732976930097,0.0,4.032988865305357,0.3782336114368039,19.12217460193903,-4.3674938430222285,0.09378493818583,7.667746337954233,0.973149111421449,2.7575682442713427,-1.132757981417723,0.1269146198283193,1047.531,-270.66989667346644,-4.602774905351728e-05,4.5217885770490405,0.0440922918408019,12.0,10.0
11.0,4.194352451179518,0.0,4.03368594969306,0.3644722920351845,18.98774019640899,-4.34232974011889,0.0903571315617466,7.759174908472119,0.8913170999968125,1.7790952892807832,1.6208438946097832,0.1148726650076669,1038.375,-272.3556331652834,-4.693852437082922e-05,4.510859506516851,0.0567719130814179,16.0,14.0
14.0,4.192604924912456,0.0,4.03368594969306,0.3644722920351845,18.98774019640899,-4.34232974011889,0.0903571315617466,7.759174908472119,0.8913170999968125,1.7790952892807832,1.6208438946097832,0.1148726650076669,1038.375,-272.3556331652834,-4.693852437082922e-05,4.510859506516851,0.0567719130814179,16.0,14.0
17.0,4.19365581420779,0.0,4.024475259565997,0.3954586058738101,18.004554405116185,-4.256847051885223,0.0982633959380972,8.243992753511499,1.7169411894290048,-0.9232655293703488,-0.4000666018855149,0.2082657324871713,1010.765,-271.04481893453504,-4.76714065657299e-05,4.477336814478207,0.0444014841131226,20.0,18.0
19.0,4.192613604855997,0.0,4.057419271798581,0.3233570343730142,23.636000655678675,-4.770579629453485,0.0796952478193548,7.468945958924572,0.7981856995445105,6.7100834115364965,-2.336333258183664,0.1068672479268331,1025.719,-230.12280344944412,-4.198416960356599e-05,4.488636369732139,0.0446343581849162,22.0,20.0
21.0,4.1935086675909545,0.0,4.0272103363763785,0.3846491482553599,18.3485174314071,-4.287689956665874,0.0955125548772456,7.530653071201209,1.0141912305337204,2.3127387024294306,1.869801377811068,0.1346750701359752,1016.859,-274.09282648852945,-4.8634338126072296e-05,4.477336814478207,0.0447987224365748,24.0,22.0
23.0,4.1926786661436095,0.0,4.050486744587676,0.336818191214555,22.300561155949616,-4.652703316080842,0.0831549915981373,7.508014036482144,1.7537488382306772,-1.400926070835692,-0.2564431570301167,0.2335835854473696,1021.079,-240.1426915923151,-4.102757604695644e-05,4.442651256490314,0.0467089878078548,28.0,26.0
